start_ip,end_ip,asn
2.59.193.0,2.59.193.255,27989
2.152.8.0,2.152.8.255,262191
2.152.9.0,2.152.9.255,262191
2.152.10.0,2.152.10.255,262191
2.152.11.0,2.152.11.255,262191
2.152.12.0,2.152.12.255,262191
2.152.13.0,2.152.13.255,262191
2.152.14.0,2.152.14.255,262191
2.152.15.0,2.152.15.255,262191
2.152.33.0,2.152.33.255,272988
5.56.27.0,5.56.27.255,274268
8.242.81.0,8.242.81.255,27753
8.242.143.0,8.242.143.255,265855
8.242.169.0,8.242.169.255,265855
8.242.185.0,8.242.185.255,265855
8.242.189.0,8.242.189.255,264646
8.242.190.0,8.242.190.255,264646
8.242.227.0,8.242.227.255,7195
8.242.228.0,8.242.228.255,7195
8.243.170.0,8.243.170.255,262191
23.27.41.0,23.27.41.255,14080
23.27.42.0,23.27.42.255,14080
23.27.43.0,23.27.43.255,14080
23.27.44.0,23.27.44.255,14080
24.152.56.0,24.152.56.255,269991
24.152.58.0,24.152.58.255,267823
24.152.59.0,24.152.59.255,270003
31.56.215.0,31.56.215.255,273138
37.10.70.0,37.10.70.255,262191
37.10.108.0,37.10.108.255,262191
38.7.136.0,38.7.136.255,272896
38.9.54.0,38.9.54.255,274316
38.9.208.0,38.9.208.255,274244
38.9.212.0,38.9.212.255,272881
38.9.213.0,38.9.213.255,274172
38.9.216.0,38.9.223.255,271957
38.10.92.0,38.10.92.255,273057
38.10.95.0,38.10.95.255,273057
38.10.181.0,38.10.181.255,272003
38.10.240.0,38.10.243.255,273953
38.19.40.0,38.19.43.255,270075
38.19.46.0,38.19.47.255,273244
38.19.49.0,38.19.49.255,272937
38.19.50.0,38.19.50.255,273896
38.19.80.0,38.19.87.255,271957
38.19.108.0,38.19.108.255,19429
38.19.212.0,38.19.213.255,265688
38.19.226.0,38.19.226.255,267857
38.19.238.0,38.19.238.255,274128
38.19.239.0,38.19.239.255,274128
38.21.112.0,38.21.112.255,272937
38.21.115.0,38.21.115.255,273172
38.21.116.0,38.21.116.255,273172
38.21.117.0,38.21.117.255,274200
38.21.120.0,38.21.120.255,274272
38.43.94.0,38.43.94.255,273821
38.43.124.0,38.43.125.255,273013
38.43.126.0,38.43.126.255,273013
38.43.127.0,38.43.127.255,273013
38.50.38.0,38.50.39.255,274247
38.50.50.0,38.50.50.255,262191
38.50.172.0,38.50.172.255,263210
38.51.133.0,38.51.133.255,27951
38.51.186.0,38.51.186.255,272896
38.51.187.0,38.51.187.255,272896
38.51.232.0,38.51.235.255,267708
38.51.243.0,38.51.243.255,272869
38.51.244.0,38.51.244.255,265855
38.51.245.0,38.51.245.255,265855
38.51.246.0,38.51.246.255,265855
38.51.247.0,38.51.247.255,265855
38.52.152.0,38.52.159.255,272851
38.52.171.0,38.52.171.255,273202
38.52.207.0,38.52.207.255,272937
38.56.23.0,38.56.23.255,267834
38.56.108.0,38.56.108.255,272806
38.56.124.0,38.56.124.255,272806
38.58.110.0,38.58.111.255,274963
38.156.13.0,38.156.13.255,272156
38.156.70.0,38.156.70.255,274226
38.156.76.0,38.156.77.255,274115
38.156.92.0,38.156.93.255,272137
38.156.224.0,38.156.224.255,273234
38.156.228.0,38.156.231.255,271957
38.156.255.0,38.156.255.255,27951
38.159.183.0,38.159.183.255,274100
38.172.216.0,38.172.216.255,273905
38.172.217.0,38.172.217.255,273905
38.172.218.0,38.172.218.255,273905
38.172.219.0,38.172.219.255,273905
38.172.220.0,38.172.220.255,273905
38.172.222.0,38.172.222.255,273905
38.172.223.0,38.172.223.255,273905
38.188.206.0,38.188.206.255,272003
38.188.225.0,38.188.225.255,273172
38.188.252.0,38.188.255.255,271957
38.190.4.0,38.190.4.255,272930
38.190.5.0,38.190.5.255,272930
38.190.6.0,38.190.6.255,272930
38.190.7.0,38.190.7.255,272930
38.190.24.0,38.190.24.255,272950
38.190.26.0,38.190.27.255,272942
38.190.72.0,38.190.72.255,272986
38.190.90.0,38.190.91.255,267790
38.190.120.0,38.190.121.255,274888
38.190.123.0,38.190.123.255,274888
38.191.41.0,38.191.41.255,273221
38.191.42.0,38.191.42.255,273078
38.191.80.0,38.191.80.255,273145
38.191.81.0,38.191.81.255,273145
38.191.146.0,38.191.146.255,273132
38.191.190.0,38.191.190.255,273174
38.191.192.0,38.191.192.255,273103
